STATISTIC,Statistic Label,Year,Y/Month,C02431V02938,Meteorological Weather Station,UNIT,AVERAGE MAX. TEMPERATURE,AVERAGE MIN. TEMPERATURE,MEAN TEMPERATURE,MAX TEMPERATURE,MIN TEMPERATURE
MTM02C1,Average Maximum Temperature,1958,1958M01,1,Belmullet,Degrees C,8.2,3.5,5.9,12.8,-4.8
MTM02C1,Average Maximum Temperature,1958,1958M01,2,Birr,Degrees C,7.8,2.1,5,13.3,-5.8
MTM02C1,Average Maximum Temperature,1958,1958M01,3,Valentia-Observatory,Degrees C,9.7,4.5,7.1,13.4,-7.2
MTM02C1,Average Maximum Temperature,1958,1958M01,4,Casement,Degrees C,,,,,
MTM02C1,Average Maximum Temperature,1958,1958M01,5,Claremorris,Degrees C,7.4,1.4,4.4,13.2,-9.6
MTM02C1,Average Maximum Temperature,1958,1958M01,6,Clones,Degrees C,6.7,0.9,3.8,13.1,-8.8
MTM02C1,Average Maximum Temperature,1958,1958M01,7,CorkAirport,Degrees C,,,,,
MTM02C1,Average Maximum Temperature,1958,1958M01,8,DublinAirport,Degrees C,7.5,1.9,4.7,12.4,-7
MTM02C1,Average Maximum Temperature,1958,1958M01,9,Galway,Degrees C,,,,,
MTM02C1,Average Maximum Temperature,1958,1958M01,10,Kilkenny,Degrees C,8,1.3,4.7,12.4,-9.1
MTM02C1,Average Maximum Temperature,1958,1958M01,11,Malin-Head,Degrees C,7.5,2.9,5.2,13.4,-3.2
MTM02C1,Average Maximum Temperature,1958,1958M01,12,Mullingar,Degrees C,7,1.2,4.1,12.7,-8.8
MTM02C1,Average Maximum Temperature,1958,1958M01,13,Roches-Point,Degrees C,8.9,4.4,6.7,12.8,-3.8
MTM02C1,Average Maximum Temperature,1958,1958M01,14,Rosslare,Degrees C,8.3,3.4,5.9,11.7,-5.1
MTM02C1,Average Maximum Temperature,1958,1958M01,15,Shannon-Airport,Degrees C,8.4,2.7,5.6,13.3,-6.1
MTM02C1,Average Maximum Temperature,1958,1958M02,1,Belmullet,Degrees C,8.8,4.1,6.5,12.3,-1.7
MTM02C1,Average Maximum Temperature,1958,1958M02,2,Birr,Degrees C,8.7,2.8,5.8,14,-2.9
MTM02C1,Average Maximum Temperature,1958,1958M02,3,Valentia-Observatory,Degrees C,10.6,5.3,8,14.4,-1.8
MTM02C1,Average Maximum Temperature,1958,1958M02,4,Casement,Degrees C,,,,,
